E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.7681340670335168,701.2149175317583,5.667374273820026e-33,1.2837491632849692e-32,2.495709323121383e-32
1.7701350675337668,700.4222484148651,2.458998181691182e-32,3.225186573806757e-32,4.4995101317740757e-32
1.7721360680340172,699.6313693764289,3.9147196537453166e-32,4.5847301224004857e-32,5.680391298228558e-32
1.7741370685342672,698.8422743595092,4.644769829521183e-32,5.088786872767284e-32,5.794098381193995e-32
1.776138069034517,698.05495733446,4.495477927040175e-32,4.632013055662917e-32,4.8301669199661754e-32
1.7781390695347674,697.2694122987762,3.5555104591374325e-32,3.5217516971213736e-32,3.471186901170559e-32
1.7801400700350178,696.4856332769424,2.0109921582100816e-32,1.9918982456860147e-32,1.9632988619105416e-32
1.7821410705352676,695.7036143202806,5.039367093393655e-34,4.99151945059451e-34,4.919851944134546e-34
1.7841420710355176,694.9233495067994,0.0,0.0,0.0
1.7861430715357676,694.1448329410448,0.0,0.0,0.0
1.788144072036018,693.3680587539516,0.0,0.0,0.0
1.790145072536268,692.5930211026966,0.0,0.0,0.0
1.7921460730365182,691.8197141705513,5.745808415571498e-34,1.9116198694079307e-33,4.508526565431363e-33
1.7941470735367686,691.0481321667362,2.366035716510364e-33,7.301564514064732e-33,1.5806380311427063e-32
1.7961480740370186,690.2782693262776,3.7409706832107044e-33,1.1407920760326898e-32,2.4330311753437378e-32
1.7981490745372684,689.5101199098624,2.2846602219267774e-32,3.1665688210296125e-32,4.63891673158828e-32
1.8001500750375188,688.7436782036959,4.124568168498764e-32,4.953110951933097e-32,6.326436534718563e-32
1.8021510755377688,687.9789385193616,5.207058518035257e-32,5.8237028690705e-32,6.837074438286629e-32
1.804152076038019,687.2158951936781,5.30839338285901e-32,5.591863220877898e-32,6.047430357220547e-32
1.806153076538269,686.4545425885611,4.417952057460875e-32,4.3760046088961025e-32,4.313174574538621e-32
1.8081540770385194,685.6948750908839,2.831854074654338e-32,2.804966265190924e-32,2.7646929696703374e-32
1.8101550775387694,684.9368871123394,6.697255675738823e-33,6.633666758446532e-33,6.538421541039319e-33
1.8121560780390196,684.1805730893029,0.0,0.0,0.0
1.8141570785392696,683.4259274826968,0.0,0.0,0.0
1.81615807903952,682.6729447778541,0.0,0.0,0.0
1.8181590795397697,681.9216194843857,0.0,0.0,0.0
1.8201600800400197,681.1719461360451,0.0,0.0,0.0
1.8221610805402702,680.423919290597,2.0875988752555478e-33,6.298258770220151e-33,1.324923602825939e-32
1.8241620810405204,679.6775335296859,3.867356573994582e-33,1.1676836487300168e-32,2.4588611742579152e-32
1.8261630815407703,678.9327834587043,1.97130065969568e-32,2.9576031852055783e-32,4.594261071657676e-32
1.8281640820410203,678.189663706663,4.2600228875589407e-32,5.259523560045228e-32,6.928276678752361e-32
1.8301650825412707,677.4481689260625,5.775978338737662e-32,6.600496980856665e-32,7.99157802300557e-32
1.8321660830415207,676.7082937927645,6.211183203278339e-32,6.70215529794331e-32,7.552254034835487e-32
1.834167083541771,675.9700330058638,5.459615210928109e-32,5.518497330676492e-32,5.660392550917768e-32
1.836168084042021,675.233381287563,3.826497987707175e-32,3.7901662608267333e-32,3.7357476078152174e-32
1.8381690845422713,674.4983333830452,1.471045788955566e-32,1.4570785442308453e-32,1.4361580235327038e-32
1.840170085042521,673.7648840603507,0.0,0.0,0.0
1.842171085542771,673.0330281102513,0.0,0.0,0.0
1.8441720860430215,672.3027603461277,0.0,0.0,0.0
1.8461730865432715,671.5740756038477,0.0,0.0,0.0
1.8481740870435217,670.846968741643,0.0,0.0,0.0
1.8501750875437721,670.121434639989,1.5781773597030925e-33,4.508729155182593e-33,8.79378884832013e-33
1.8521760880440221,669.3974682014854,3.780151473988831e-33,1.1031012913911811e-32,2.218321908274922e-32
1.854177088544272,668.6750643507352,1.4699087093335686e-32,2.517028765859831e-32,4.198952761690024e-32
1.8561780890445223,667.9542180342271,4.279730848004741e-32,5.441279006898414e-32,7.366908449002579e-32
1.8581790895447723,667.2349242202181,6.326258285606023e-32,7.388902800810933e-32,9.214836435865964e-32
1.8601800900450227,666.5171778986149,7.199266243220867e-32,7.96484518536436e-32,9.3611871240076e-32
1.8621810905452725,665.8009740808596,6.705842553244176e-32,7.028267902299023e-32,7.738001982446511e-32
1.8641820910455225,665.0863077998122,5.036443041270035e-32,5.08032294136988e-32,5.303641624055591e-32
1.8661830915457729,664.3731741096367,2.498937779365995e-32,2.503402663008486e-32,2.558540263159698e-32
1.868184092046023,663.6615680856875,0.0,0.0,0.0
1.870185092546273,662.9514848243948,0.0,0.0,0.0
1.8721860930465235,662.2429194431528,0.0,0.0,0.0
