basis,E_eV,lambda_nm,sigma_200K,sigma_220K,sigma_250K,sigma_298K
cc-pvtz-dk,1.1220610305152576,1104.9684021471244,2.5743349713594582e-30,2.817920194791941e-30,3.2729323878654904e-30,4.170296789285427e-30
cc-pvtz-dk,1.1240620310155078,1103.0013911953715,1.377685812656387e-30,1.683100066650939e-30,2.253902673118842e-30,3.380793801854402e-30
cc-pvtz-dk,1.1260630315157578,1101.041370953354,6.083575642925814e-31,9.193414865455006e-31,1.5066965294051537e-30,2.6905623362984047e-30
cc-pvtz-dk,1.128064032016008,1099.0883042199555,5.11170683133857e-31,7.939248824049751e-31,1.3668706336082004e-30,2.6739706704195154e-30
cc-pvtz-dk,1.1300650325162582,1097.1421540575475,3.138203682886237e-31,5.133933267272685e-31,9.613422055403229e-31,2.142161116923544e-30
cc-pvtz-dk,1.1320660330165082,1095.2028837896596,6.547420444580761e-32,1.4849006405980643e-31,3.9515059230218335e-31,1.2440410736855284e-30
cc-pvtz-dk,1.1340670335167584,1093.2704569986765,6.492698247618007e-32,1.4724901002925027e-31,3.9184799264099807e-31,1.2336435955885898e-30
cc-pvtz-dk,1.1360680340170084,1091.344837523558,5.182989905265357e-32,1.1754591133538582e-31,3.1280434001408964e-31,9.847927716302985e-31
cc-pvtz-dk,1.1380690345172586,1089.4259894575823,2.848236261570922e-32,6.45956355663991e-32,1.7189704789889535e-31,5.411784575233014e-31
cc-pvtz-dk,1.1400700350175088,1087.5138771461166,5.787021720210501e-31,5.75562410376604e-31,5.69599816039489e-31,5.574543694502098e-31
cc-pvtz-dk,1.1420710355177588,1085.6084651844064,2.040420612122471e-30,2.0293502642194972e-30,2.008327014307224e-30,1.9655039167583577e-30
cc-pvtz-dk,1.144072036018009,1083.7097184153913,3.132791212309166e-30,3.1157941831566506e-30,3.083515812614784e-30,3.0177667102542684e-30
cc-pvtz-dk,1.1460730365182592,1081.8176019275425,3.639199940399261e-30,3.619455379307618e-30,3.581959281996505e-30,3.505581983550457e-30
cc-pvtz-dk,1.1480740370185092,1079.9320810527233,3.7261618790465735e-30,3.845705237619097e-30,4.068617010800807e-30,4.5066841549661464e-30
cc-pvtz-dk,1.1500750375187594,1078.0531213640713,3.1192145628348055e-30,3.368375338866337e-30,3.83372504910634e-30,4.751170176632769e-30
cc-pvtz-dk,1.1520760380190094,1076.1806886739037,1.9029357525904678e-30,2.235853669975738e-30,2.8579951440101345e-30,4.0859875458160276e-30
cc-pvtz-dk,1.1540770385192596,1074.3147490316428,6.953866642294809e-31,1.0471065950790399e-30,1.704594115710356e-30,3.0031826465930915e-30
cc-pvtz-dk,1.1560780390195098,1072.4552687217654,6.144768084278316e-31,9.472940011752783e-31,1.609813526623113e-30,3.077966233421151e-30
cc-pvtz-dk,1.1580790395197598,1070.602214261771,4.168029789671715e-31,6.702010589659169e-31,1.221953055550971e-30,2.6203860783437375e-30
cc-pvtz-dk,1.16008004002001,1068.7555524001725,1.3541307622187607e-31,2.5921044487056903e-31,5.920180359434406e-31,1.6502510475550536e-30
cc-pvtz-dk,1.1620810405202602,1066.915250114507,7.555899017504992e-32,1.713615214778812e-31,4.560143948925464e-31,1.435656806517826e-30
cc-pvtz-dk,1.1640820410205102,1065.0812746093684,6.400833480923801e-32,1.4516559332999852e-31,3.8630376078997e-31,1.2161888523107666e-30
cc-pvtz-dk,1.1660830415207604,1063.2535933144572,3.9874778048139735e-32,9.043268867267559e-32,2.406526707274779e-31,7.5763977761712565e-31
cc-pvtz-dk,1.1680840420210106,1061.4321738826552,2.3250627359215833e-31,2.409021222167753e-31,2.671566625750698e-31,3.607676328236474e-31
cc-pvtz-dk,1.1700850425212606,1059.6169841881147,1.9111103555325432e-30,1.900741583333799e-30,1.8810506674630255e-30,1.8409414543452032e-30
cc-pvtz-dk,1.1720860430215108,1057.8079923243704,3.2567671435571514e-30,3.2390974802024736e-30,3.205541737255011e-30,3.137190704015146e-30
cc-pvtz-dk,1.174087043521761,1056.005166602471,3.996702968550119e-30,3.975018766742006e-30,3.933839176203783e-30,3.849958823261244e-30
cc-pvtz-dk,1.176088044022011,1054.208475549128,4.208730546781926e-30,4.3036075611356755e-30,4.480324574849469e-30,4.8268184303109756e-30
cc-pvtz-dk,1.1780890445222612,1052.4178879048832,3.721656300521657e-30,3.971422587791079e-30,4.437808323061399e-30,5.3569205154458516e-30
cc-pvtz-dk,1.1800900450225114,1050.6333726222974,2.510621175426957e-30,2.8697778801686438e-30,3.540880180495601e-30,4.86522347697892e-30
cc-pvtz-dk,1.1820910455227613,1048.8548988641558,7.977814688071309e-31,1.1989010744275573e-30,1.9487331047436836e-30,3.429706179247162e-30
cc-pvtz-dk,1.1840920460230115,1047.0824360016898,7.293668114304591e-31,1.1168081736123219e-30,1.8750487377017624e-30,3.5069875459884965e-30
cc-pvtz-dk,1.1860930465232615,1045.3159536128217,5.365760678152375e-31,8.515647817175392e-31,1.5203037235805406e-30,3.157120345084263e-30
cc-pvtz-dk,1.1880940470235117,1043.555421480421,2.369358665915142e-31,4.174893704778063e-31,8.663057861307592e-31,2.1928590284083146e-30
cc-pvtz-dk,1.190095047523762,1041.800809590584,8.716725280688697e-32,1.9768809812611275e-31,5.2607270095972935e-31,1.6562193262210927e-30
cc-pvtz-dk,1.192096048024012,1040.0520881309274,7.797218584521577e-32,1.7683444906340631e-31,4.705785382292761e-31,1.481508673798034e-30
cc-pvtz-dk,1.1940970485242621,1038.3092274888982,5.353214887310053e-32,1.2140647271254892e-31,3.230777756440353e-31,1.0171363291005175e-30
