r_obr_A,r_oh_A,theta_deg,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,root0_sym,gap_any_eV,gap_app_eV,w1,status,wall_s
2.45,1.0,135.0,87,0.014070646915928891,-2679.797920699407,-2680.373054223483,-2680.407719681662,0.3878381844197556,A',-0.18734903061882147,0.914388608751792,0.8815,warn:Ap_below,179.73
2.4,1.0,135.0,87,0.01377916775101313,-2679.805517789325,-2680.377188347855,-2680.4101021865513,0.4562740676883325,A',-0.08092392509715933,1.01025342171969,0.8894,warn:Ap_below,189.13
2.4,1.25,135.0,87,0.016041949956183185,-2679.7561079120264,-2680.3376404735955,-2680.372620922727,0.4180131025143783,A',-0.01999534574864572,1.0358845732265378,0.8903,warn:Ap_below,188.83
1.85,0.95,100.0,87,0.006284058998292622,-2679.9138709877616,-2680.45612878493,-2680.476800519329,2.8062249374892665,"A""",0.8453662865289338,3.1191579184739484,0.9481,ok,219.22
2.3,1.25,135.0,87,0.01549039585347063,-2679.771752808174,-2680.3466921380573,-2680.378487713528,0.5800059538515631,"A""",0.1956715295180238,1.256064021236414,0.9036,ok,272.74
2.35,1.0,135.0,87,0.013433271155600642,-2679.8133463858853,-2680.3816214800786,-2680.412872799926,0.5368563984385428,"A""",0.02523092665887414,1.1151888231976337,0.8969,ok,265.98
2.45,1.25,135.0,87,0.016253349331036508,-2679.7485886271706,-2680.3335096943592,-2680.3702205709824,0.353975010853697,A',-0.13001587728623099,0.9394193843278845,0.8832,warn:Ap_below,242.24
1.55,0.85,90.0,87,0.005275534269121275,-2679.8407113258518,-2680.3743755571477,-2680.392312009891,4.341310898217152,"A""",0.9430798171592403,3.4527543570432395,0.9593,ok,286.93
1.55,0.85,85.0,87,0.005355689936566333,-2679.829237513927,-2680.3640453196763,-2680.382138132882,4.304688107489411,"A""",0.933641784362002,3.5092827911343374,0.9591,ok,304.82
1.55,0.85,135.0,87,0.005100287069071492,-2679.854165763734,-2680.3843621671076,-2680.401667056833,4.2560021673484165,"A""",0.5509743618296251,3.6974856754087613,0.9598,ok,419.06
1.55,0.9,85.0,87,0.005457910812291342,-2679.839014472941,-2680.3753451159214,-2680.393695403049,4.26312097143516,"A""",0.900251700402217,3.2429395657832054,0.9585,ok,446.08
1.55,0.85,130.0,87,0.005095853425970111,-2679.8581287384864,-2680.3882683158313,-2680.4056048957227,4.304470256263925,"A""",0.6313720756200722,3.6284828761387593,0.9598,ok,452.97
1.55,0.9,95.0,87,0.005300054976901843,-2679.8591201331633,-2680.3932941033295,-2680.411335947096,4.321212417460635,"A""",0.9241051490887985,3.171709257956564,0.9588,ok,457.64
1.55,0.85,80.0,87,0.005451966046482865,-2679.8149129159106,-2680.3510815007517,-2680.3693577211498,4.26142171071164,"A""",0.9152368109831903,3.5919519322041986,0.9589,ok,458.47
1.55,0.9,80.0,87,0.005567611941937434,-2679.8249132029687,-2680.3626478658102,-2680.3811992690944,4.22334431920809,"A""",0.8748492190931356,3.3222898417721227,0.9582,ok,458.85
1.55,0.8,120.0,87,0.005019177065176126,-2679.843889517775,-2680.372916894789,-2680.39012215828,4.437961036914254,"A""",0.7643197492098334,3.66325681338559,0.9602,ok,461.51
1.55,0.9,90.0,87,0.005368551408656739,-2679.850331282723,-2680.385483823373,-2680.4036652485934,4.296047023997891,"A""",0.9172314571982034,3.194108523141513,0.9587,ok,462.46
1.55,0.8,135.0,87,0.005026709501565816,-2679.835101978416,-2680.364154243306,-2680.381250766329,4.335682528221478,"A""",0.539082656029915,3.8175470444372306,0.9604,ok,465.03
1.55,0.85,125.0,87,0.005092504278206235,-2679.8612311072757,-2680.3913891010293,-2680.4087625327124,4.3443468356331305,"A""",0.7054263511324811,3.5657159709240744,0.9598,ok,472.65
1.55,0.8,125.0,87,0.005018477782739874,-2679.8419628285915,-2680.370905461661,-2680.388068225759,4.413055184335884,"A""",0.6958472917222056,3.7058128555161858,0.9603,ok,480.52
1.55,0.9,75.0,87,0.005694913292217757,-2679.8076874929275,-2680.3470741859674,-2680.3658591944645,4.177447376947346,"A""",0.8429952991243845,3.435564436940682,0.9579,ok,481.32
1.55,0.85,110.0,87,0.005108914273506849,-2679.863147199782,-2680.393981852904,-2680.4115123696474,4.403487454440462,"A""",0.8733605274239755,3.432600680877434,0.9597,ok,481.73
1.55,0.8,85.0,87,0.005267602933543531,-2679.8093620244877,-2680.3427398646413,-2680.3605866978683,4.333739148405502,"A""",0.9667949860068078,3.7494404653945863,0.9596,ok,486.46
1.55,0.85,75.0,87,0.005562788202676694,-2679.7973767656626,-2680.3351427242146,-2680.3536292813324,4.212302809409526,"A""",0.8891631107892124,3.702643201000641,0.9586,ok,486.73
1.55,0.8,130.0,87,0.005021496613885328,-2679.8389576999652,-2680.3679144134276,-2680.38504133188,4.378589455018749,"A""",0.6201729936278253,3.7577961027029096,0.9603,ok,489.34
1.55,0.8,95.0,87,0.005138166266010833,-2679.82991525407,-2680.361270442301,-2680.378850022885,4.409249474814619,"A""",0.9615645537216657,3.639953259771097,0.9599,ok,490.71
1.55,0.85,105.0,87,0.005130567898910531,-2679.8606230092155,-2680.391935811163,-2680.409541161478,4.402231394912705,"A""",0.9078487123488885,3.4122135714286346,0.9596,ok,493.01
1.55,0.8,105.0,87,0.0050605872590042435,-2679.841053997856,-2680.371059125862,-2680.3884481434907,4.450743370580624,"A""",0.9141992897492411,3.605562754539248,0.96,ok,494.16
1.55,0.8,90.0,87,0.005196126083783082,-2679.820935138366,-2680.353208421317,-2680.37091092528,4.375313242761285,"A""",0.9692474969161401,3.684346287296318,0.9597,ok,504.98
1.55,0.8,100.0,87,0.005093332093083236,-2679.8365477809116,-2680.3671517702305,-2680.3846276753684,4.434658180012079,"A""",0.9432864246601018,3.614344084576314,0.96,ok,505.74
1.55,0.85,100.0,87,0.00516419315882221,-2679.8561797000852,-2680.3881150006478,-2680.4058108448894,4.390968506543117,"A""",0.9308344575107121,3.407079175412582,0.9595,ok,509.36
1.55,0.8,110.0,87,0.005038461418665469,-2679.8436430616543,-2680.3731914675864,-2680.3905079210663,4.456874018618376,"A""",0.8743713685603944,3.61180541940904,0.9601,ok,510.15
1.55,0.8,115.0,87,0.00502525246372438,-2679.844519708058,-2680.3737452015575,-2680.391001097764,4.452649274612415,"A""",0.8241774768569761,3.631494562184171,0.9602,ok,510.71
1.55,0.85,120.0,87,0.005092159319303708,-2679.8632451142976,-2680.3935147375555,-2680.4109315750766,4.374504015291933,"A""",0.7713194048843943,3.5110545233757815,0.9597,ok,514.75
1.55,0.85,95.0,87,0.00521196238348188,-2679.8496135922564,-2680.382327411227,-2680.40013253883,4.370379857623958,"A""",0.9424204733195788,3.419663135793984,0.9594,ok,527.49
1.55,0.8,80.0,87,0.005352246729293332,-2679.7949071722605,-2680.3295976314503,-2680.3476115121343,4.285431529177384,"A""",0.9548500481169315,3.8367835561053534,0.9594,ok,528.63
1.55,0.85,115.0,87,0.005096888691482117,-2679.8639534563677,-2680.394444111138,-2680.4119126155447,4.394292229916939,"A""",0.8276375311589276,3.4661434085459324,0.9597,ok,528.87
