E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.9362181090545272,640.3421072254231,6.765832173477335e-34,1.9329452796971265e-33,3.770000827278624e-33
1.9382191095547776,639.6810236200799,2.1990651689877604e-33,6.282557014648207e-33,1.2253448347156577e-32
1.9402201100550274,639.0213036008766,1.4507668496616701e-32,2.057113759383351e-32,2.943337291055263e-32
1.9422211105552774,638.3629429532518,3.6175613664628406e-32,4.3001501809527263e-32,5.297139429503853e-32
1.9442221110555278,637.7059374799948,5.149961931941733e-32,5.854157932338196e-32,7.004300677422394e-32
1.9462231115557778,637.0502830011567,5.88919600947645e-32,7.614603869010235e-32,1.2336762576626186e-31
1.948224112056028,636.3959753539607,5.59233492666846e-32,8.567110111860131e-32,1.7743330383531563e-31
1.9502251125562784,635.7430103927151,4.335472367789663e-32,8.784458796685089e-32,2.316499280764628e-31
1.9522261130565284,635.091383988725,2.504121443034894e-32,8.850602000399551e-32,2.9304382523516602e-31
1.9542271135567784,634.441092030206,1.1622583112168285e-32,9.43412722250239e-32,3.6058860948766284e-31
1.9562281140570286,633.7921304221966,1.4204165564859354e-32,1.1529614693662637e-31,4.406817538351553e-31
1.9582291145572785,633.1444950864734,1.656672125943079e-32,1.344731670342493e-31,5.139796312967296e-31
1.9602301150575288,632.4981819614648,1.8647664644437076e-32,1.5136432147686236e-31,5.785405360784189e-31
1.9622311155577787,631.853187002167,2.045624324313017e-32,1.6604467301945731e-31,6.34651370972696e-31
1.9642321160580287,631.2095061800586,2.2082708760917907e-32,1.7924680069601313e-31,6.851121793643082e-31
1.9662331165582791,630.5671354830174,2.4595599973103267e-32,1.949174262274858e-31,7.402028104803805e-31
1.9682341170585294,629.9260709152369,3.2932498042043444e-32,2.1869418934749597e-31,8.095495291709212e-31
1.9702351175587793,629.2863084971435,6.19992188392138e-32,2.6586407268971547e-31,9.12521311198691e-31
1.9722361180590298,628.6478442653138,8.595856448326247e-32,3.1272357056065594e-31,1.0322656443437071e-30
1.9742371185592797,628.0106742723932,1.010170480543082e-31,3.5746442156144004e-31,1.1733799815829216e-30
1.9762381190595295,627.3747945870143,1.051517690683639e-31,3.998599296198719e-31,1.3411485160831875e-30
1.97823911955978,626.7402012937159,9.854700647110314e-32,4.414731213083035e-31,1.5410948842205462e-30
1.98024012006003,626.1068904928635,8.361453323718811e-32,4.855016918993816e-31,1.778376862676281e-30
1.9822411205602801,625.4748583005678,6.648440059040032e-32,5.396582561969191e-31,2.0626669071881347e-30
1.98424212106053,624.8441008486071,7.795310326312447e-32,6.327504707651724e-31,2.4184814029395475e-30
1.9862431215607805,624.214614284347,9.065339797090364e-32,7.358395989564956e-31,2.81250582630263e-30
1.9882441220610305,623.5863947706629,1.0439550913791806e-31,8.473852199292147e-31,3.2388524232093634e-30
1.9902451225612805,622.9594384858615,1.1900635026200022e-31,9.659823791511165e-31,3.6921512151846236e-30
1.9922461230615307,622.3337416236033,1.343686035007486e-31,1.0906787999725065e-30,4.168762436674456e-30
1.9942471235617811,621.7093003928256,1.5045360459400414e-31,1.2212418127067324e-30,4.6677967840177896e-30
1.9962481240620311,621.0861110176669,1.673430404985011e-31,1.3583344757589808e-30,5.191788580768848e-30
