r_ocl_A,r_oh_A,theta_deg,ncas,nelecas,conv_cas,e_casscf_Ha,e_nevpt2_Ha,s2,gap_app_eV,status,wall_s
2.2,0.85,115.0,6,10,True,-536.1594179118063,-536.6303664779482,1.9999999999999993,0.8865160339285615,ok,5.11
2.2,0.9,105.0,6,10,True,-536.1713684130848,-536.6447771964516,1.9999999999999987,0.8992592856176186,ok,5.16
2.2,0.85,75.0,6,10,True,-536.1574602500859,-536.6308410752836,1.9999999999999998,0.9237499922515471,ok,5.21
2.2,0.8,105.0,6,10,True,-536.1395302482431,-536.6094361541502,2.0,0.8922448231029122,ok,5.3
2.2,0.8,135.0,6,10,True,-536.1346284515578,-536.6019987683919,2.000000000000001,0.8747588049433512,ok,5.32
2.2,0.85,85.0,6,10,True,-536.1600585619522,-536.6327991166877,1.9999999999999991,0.9157646935142606,ok,5.32
2.2,0.8,85.0,6,10,True,-536.139216153138,-536.6101858245585,1.9999999999999991,0.9098125842375567,ok,5.34
2.2,0.9,135.0,6,10,True,-536.1666732512754,-536.6375327039575,1.9999999999999987,0.8723995144365799,ok,5.35
2.2,0.8,115.0,6,10,True,-536.1382931652514,-536.607498306839,1.9999999999999996,0.8835218029384538,ok,5.39
2.2,0.8,95.0,6,10,True,-536.1399647183272,-536.6104321317241,2.0,0.9016800353230054,ok,5.42
2.2,0.8,125.0,6,10,True,-536.1365713660275,-536.604970309123,2.0000000000000004,0.8775018252285635,ok,5.65
2.2,1.0,115.0,6,10,True,-536.1716544000792,-536.6479928402761,2.0000000000000013,0.8907104079358463,ok,2.73
2.2,1.0,125.0,6,10,True,-536.1700880943727,-536.6455483970616,2.0,0.8788334193610104,ok,2.76
2.2,1.25,75.0,6,10,True,-536.1181994164604,-536.6074858207636,2.000000000000001,0.9597536905635246,ok,2.59
2.2,1.25,95.0,6,10,True,-536.1232944613932,-536.6099318066372,2.0,0.9135106143732611,ok,2.71
2.2,1.1,105.0,6,10,True,-536.1582014906203,-536.6388301374561,2.0,0.9033132025146143,ok,3.82
2.2,1.05,105.0,6,10,True,-536.1667797735711,-536.6456213933167,1.9999999999999996,0.9035225517039766,ok,3.91
2.2,1.1,95.0,6,10,True,-536.1581260277491,-536.639440433908,2.0,0.9167792446789915,ok,3.92
2.2,1.05,125.0,6,10,True,-536.164332902787,-536.6415904701541,1.9999999999999991,0.8771559105831239,ok,3.95
2.2,1.05,135.0,6,10,True,-536.1625092137444,-536.6387460022311,1.9999999999999996,0.8626595500527644,ok,3.95
2.2,1.05,85.0,6,10,True,-536.1654341556901,-536.6457565716144,1.9999999999999993,0.9301821300508621,ok,4.06
2.2,1.1,115.0,6,10,True,-536.1573376949839,-536.637255572003,2.000000000000001,0.8894820577040446,ok,3.94
2.2,1.15,105.0,6,10,True,-536.1477601632471,-536.6301686005768,2.0000000000000004,0.9023626196493649,ok,3.81
2.2,1.05,95.0,6,10,True,-536.1667863888849,-536.6463314404406,1.9999999999999991,0.916420587963374,ok,4.16
2.2,1.0,135.0,6,10,True,-536.168225746206,-536.6426609495513,2.0000000000000004,0.8666955242527403,ok,4.29
2.2,1.05,75.0,6,10,True,-536.1622381274699,-536.6436871045048,1.9999999999999993,0.9483340549269172,ok,4.36
2.2,1.1,135.0,6,10,True,-536.1541071369584,-536.632177259338,1.9999999999999996,0.8578865311825885,ok,4.13
2.2,1.15,115.0,6,10,True,-536.1469702086852,-536.6286507045272,1.9999999999999998,0.887758823496513,ok,3.99
2.2,1.1,125.0,6,10,True,-536.155884953656,-536.6349369007874,1.9999999999999996,0.8747235890673145,ok,4.16
